"vertex_order","lat","lng","stall_id"
"1","49.2836019","-123.1154079","1"
"2","49.2835799","-123.1154409","1"
"3","49.2835469","-123.1153819","1"
"4","49.2835689","-123.1153499","1"
"1","49.2835746","-123.1154489","2"
"2","49.2835536","-123.1154809","2"
"3","49.2835196","-123.1154229","2"
"4","49.2835416","-123.1153899","2"
"1","49.2835484","-123.1154890","3"
"2","49.2835264","-123.1155220","3"
"3","49.2834934","-123.1154630","3"
"4","49.2835144","-123.1154310","3"
"1","49.2835220","-123.1155300","4"
"2","49.2835000","-123.1155620","4"
"3","49.2834670","-123.1155040","4"
"4","49.2834890","-123.1154710","4"
"1","49.2834947","-123.1155687","5"
"2","49.2834737","-123.1156017","5"
"3","49.2834407","-123.1155437","5"
"4","49.2834617","-123.1155107","5"
"1","49.2834676","-123.1156084","6"
"2","49.2834456","-123.1156404","6"
"3","49.2834126","-123.1155824","6"
"4","49.2834346","-123.1155504","6"
"1","49.2834395","-123.1156498","7"
"2","49.2834175","-123.1156828","7"
"3","49.2833845","-123.1156248","7"
"4","49.2834065","-123.1155918","7"
"1","49.2834131","-123.1156909","8"
"2","49.2833921","-123.1157239","8"
"3","49.2833591","-123.1156649","8"
"4","49.2833801","-123.1156329","8"
"1","49.2835548","-123.1151557","9"
"2","49.2835328","-123.1151877","9"
"3","49.2834998","-123.1151297","9"
"4","49.2835218","-123.1150967","9"
"1","49.2835301","-123.1151903","10"
"2","49.2835091","-123.1152233","10"
"3","49.2834751","-123.1151643","10"
"4","49.2834971","-123.1151323","10"
"1","49.2835073","-123.1152273","11"
"2","49.2834853","-123.1152593","11"
"3","49.2834523","-123.1152013","11"
"4","49.2834733","-123.1151683","11"
"1","49.2834832","-123.1152621","12"
"2","49.2834612","-123.1152951","12"
"3","49.2834282","-123.1152371","12"
"4","49.2834502","-123.1152041","12"
"1","49.2834594","-123.1152974","13"
"2","49.2834384","-123.1153294","13"
"3","49.2834054","-123.1152714","13"
"4","49.2834264","-123.1152394","13"
"1","49.2834367","-123.1153321","14"
"2","49.2834147","-123.1153651","14"
"3","49.2833817","-123.1153071","14"
"4","49.2834037","-123.1152741","14"
"1","49.2834133","-123.1153677","15"
"2","49.2833913","-123.1154007","15"
"3","49.2833583","-123.1153417","15"
"4","49.2833803","-123.1153097","15"
"1","49.2833903","-123.1154021","16"
"2","49.2833693","-123.1154341","16"
"3","49.2833363","-123.1153761","16"
"4","49.2833573","-123.1153431","16"
"1","49.2833681","-123.1154361","17"
"2","49.2833461","-123.1154691","17"
"3","49.2833131","-123.1154101","17"
"4","49.2833351","-123.1153781","17"
"1","49.2833449","-123.1154711","18"
"2","49.2833239","-123.1155031","18"
"3","49.2832899","-123.1154451","18"
"4","49.2833119","-123.1154121","18"
"1","49.2833224","-123.1155051","19"
"2","49.2833004","-123.1155381","19"
"3","49.2832674","-123.1154791","19"
"4","49.2832884","-123.1154471","19"
"1","49.2834937","-123.1150383","20"
"2","49.2834717","-123.1150713","20"
"3","49.2834387","-123.1150133","20"
"4","49.2834607","-123.1149803","20"
"1","49.2834696","-123.1150733","21"
"2","49.2834476","-123.1151053","21"
"3","49.2834146","-123.1150473","21"
"4","49.2834366","-123.1150153","21"
"1","49.2834454","-123.1151073","22"
"2","49.2834244","-123.1151403","22"
"3","49.2833914","-123.1150823","22"
"4","49.2834124","-123.1150493","22"
"1","49.2834213","-123.1151437","23"
"2","49.2833993","-123.1151767","23"
"3","49.2833663","-123.1151177","23"
"4","49.2833883","-123.1150857","23"
"1","49.2833976","-123.1151787","24"
"2","49.2833766","-123.1152107","24"
"3","49.2833426","-123.1151527","24"
"4","49.2833646","-123.1151197","24"
"1","49.2833735","-123.1152141","25"
"2","49.2833515","-123.1152471","25"
"3","49.2833185","-123.1151881","25"
"4","49.2833395","-123.1151561","25"
"1","49.2833497","-123.1152491","26"
"2","49.2833277","-123.1152811","26"
"3","49.2832947","-123.1152231","26"
"4","49.2833167","-123.1151901","26"
"1","49.2833256","-123.1152824","27"
"2","49.2833046","-123.1153154","27"
"3","49.2832706","-123.1152564","27"
"4","49.2832926","-123.1152244","27"
"1","49.2832984","-123.1153241","28"
"2","49.2832764","-123.1153561","28"
"3","49.2832434","-123.1152981","28"
"4","49.2832644","-123.1152651","28"
"1","49.2832712","-123.1153642","29"
"2","49.2832492","-123.1153972","29"
"3","49.2832162","-123.1153382","29"
"4","49.2832382","-123.1153062","29"
"1","49.2837110","-123.1151935","30"
"2","49.2836750","-123.1152475","30"
"3","49.2836550","-123.1152125","30"
"4","49.2836910","-123.1151585","30"
"1","49.2836900","-123.1151559","31"
"2","49.2836540","-123.1152099","31"
