"stall_id","occupied","parking_type","centroid_lat","centroid_lng","polygon_wkt","coordinates_json","polygon","lot_id"
"1","0","handicap","49.2835744","-123.1153951","POLYGON((-123.1154079 49.2836019, -123.1154409 49.2835799, -123.1153819 49.2835469, -123.1153499 49.2835689, -123.1154079 49.2836019))","[{""lat"": 49.2836019, ""lng"": -123.1154079}, {""lat"": 49.2835799, ""lng"": -123.1154409}, {""lat"": 49.2835469, ""lng"": -123.1153819}, {""lat"": 49.2835689, ""lng"": -123.1153499}]","","1"
"2","0","handicap","49.2835473","-123.1154356","POLYGON((-123.1154489 49.2835746, -123.1154809 49.2835536, -123.1154229 49.2835196, -123.1153899 49.2835416, -123.1154489 49.2835746))","[{""lat"": 49.2835746, ""lng"": -123.1154489}, {""lat"": 49.2835536, ""lng"": -123.1154809}, {""lat"": 49.2835196, ""lng"": -123.1154229}, {""lat"": 49.2835416, ""lng"": -123.1153899}]","","1"
"3","0","electric","49.2835206","-123.1154763","POLYGON((-123.1154890 49.2835484, -123.1155220 49.2835264, -123.1154630 49.2834934, -123.1154310 49.2835144, -123.1154890 49.2835484))","[{""lat"": 49.2835484, ""lng"": -123.115489}, {""lat"": 49.2835264, ""lng"": -123.115522}, {""lat"": 49.2834934, ""lng"": -123.115463}, {""lat"": 49.2835144, ""lng"": -123.115431}]","","1"
"4","0","electric","49.2834945","-123.1155167","POLYGON((-123.1155300 49.2835220, -123.1155620 49.2835000, -123.1155040 49.2834670, -123.1154710 49.2834890, -123.1155300 49.2835220))","[{""lat"": 49.283522, ""lng"": -123.11553}, {""lat"": 49.2835, ""lng"": -123.115562}, {""lat"": 49.283467, ""lng"": -123.115504}, {""lat"": 49.283489, ""lng"": -123.115471}]","","1"
"5","0","electric","49.2834677","-123.1155562","POLYGON((-123.1155687 49.2834947, -123.1156017 49.2834737, -123.1155437 49.2834407, -123.1155107 49.2834617, -123.1155687 49.2834947))","[{""lat"": 49.2834947, ""lng"": -123.1155687}, {""lat"": 49.2834737, ""lng"": -123.1156017}, {""lat"": 49.2834407, ""lng"": -123.1155437}, {""lat"": 49.2834617, ""lng"": -123.1155107}]","","1"
"6","0","electric","49.2834401","-123.1155954","POLYGON((-123.1156084 49.2834676, -123.1156404 49.2834456, -123.1155824 49.2834126, -123.1155504 49.2834346, -123.1156084 49.2834676))","[{""lat"": 49.2834676, ""lng"": -123.1156084}, {""lat"": 49.2834456, ""lng"": -123.1156404}, {""lat"": 49.2834126, ""lng"": -123.1155824}, {""lat"": 49.2834346, ""lng"": -123.1155504}]","","1"
"7","0","electric","49.2834120","-123.1156373","POLYGON((-123.1156498 49.2834395, -123.1156828 49.2834175, -123.1156248 49.2833845, -123.1155918 49.2834065, -123.1156498 49.2834395))","[{""lat"": 49.2834395, ""lng"": -123.1156498}, {""lat"": 49.2834175, ""lng"": -123.1156828}, {""lat"": 49.2833845, ""lng"": -123.1156248}, {""lat"": 49.2834065, ""lng"": -123.1155918}]","","1"
"8","0","electric","49.2833861","-123.1156782","POLYGON((-123.1156909 49.2834131, -123.1157239 49.2833921, -123.1156649 49.2833591, -123.1156329 49.2833801, -123.1156909 49.2834131))","[{""lat"": 49.2834131, ""lng"": -123.1156909}, {""lat"": 49.2833921, ""lng"": -123.1157239}, {""lat"": 49.2833591, ""lng"": -123.1156649}, {""lat"": 49.2833801, ""lng"": -123.1156329}]","","1"
"9","0","regular","49.2835273","-123.1151425","POLYGON((-123.1151557 49.2835548, -123.1151877 49.2835328, -123.1151297 49.2834998, -123.1150967 49.2835218, -123.1151557 49.2835548))","[{""lat"": 49.2835548, ""lng"": -123.1151557}, {""lat"": 49.2835328, ""lng"": -123.1151877}, {""lat"": 49.2834998, ""lng"": -123.1151297}, {""lat"": 49.2835218, ""lng"": -123.1150967}]","","1"
"10","0","regular","49.2835028","-123.1151775","POLYGON((-123.1151903 49.2835301, -123.1152233 49.2835091, -123.1151643 49.2834751, -123.1151323 49.2834971, -123.1151903 49.2835301))","[{""lat"": 49.2835301, ""lng"": -123.1151903}, {""lat"": 49.2835091, ""lng"": -123.1152233}, {""lat"": 49.2834751, ""lng"": -123.1151643}, {""lat"": 49.2834971, ""lng"": -123.1151323}]","","1"
